Time(s),Length(m),[Calcium],Force(N)
 0.000,0.250000,0.000000,0.000000
 0.001,0.250000,0.000000,0.000000
 0.002,0.250000,0.000000,0.000000
 0.003,0.250000,0.000000,0.000000
 0.004,0.250000,0.000000,0.000000
 0.005,0.250000,0.000000,0.000000
 0.006,0.250000,0.000000,0.000000
 0.007,0.250000,0.000000,0.000000
 0.008,0.250000,0.000000,0.000000
 0.009,0.250000,0.000000,0.000000
 0.010,0.250000,0.000000,0.000000
 0.011,0.250000,0.000000,0.000000
 0.012,0.250000,0.000000,0.000000
 0.013,0.250000,0.000000,0.000000
 0.014,0.250000,0.000000,0.000000
 0.015,0.250000,0.000000,0.000000
 0.016,0.250000,0.000000,0.000000
 0.017,0.250000,0.000000,0.000000
 0.018,0.250000,0.000000,0.000000
 0.019,0.250000,0.000000,0.000000
 0.020,0.250000,0.000000,0.000000
 0.021,0.250000,0.000000,0.000000
 0.022,0.250000,0.000000,0.000000
 0.023,0.250000,0.000000,0.000000
 0.024,0.250000,0.000000,0.000000
 0.025,0.250000,0.000000,0.000000
 0.026,0.250000,0.000000,0.000000
 0.027,0.250000,0.000000,0.000000
 0.028,0.250000,0.000000,0.000000
 0.029,0.250000,0.000000,0.000000
 0.030,0.250000,0.000000,0.000000
 0.031,0.250000,0.000000,0.000000
 0.032,0.250000,0.000000,0.000000
 0.033,0.250000,0.000000,0.000000
 0.034,0.250000,0.000000,0.000000
 0.035,0.250000,0.000000,0.000000
 0.036,0.250000,0.000000,0.000000
 0.037,0.250000,0.000000,0.000000
 0.038,0.250000,0.000000,0.000000
 0.039,0.250000,0.000000,0.000000
 0.040,0.250000,0.000000,0.000000
 0.041,0.250000,0.000000,0.000000
 0.042,0.250000,0.000000,0.000000
 0.043,0.250000,0.000000,0.000000
 0.044,0.250000,0.000000,0.000000
 0.045,0.250000,0.000000,0.000000
 0.046,0.250000,0.000000,0.000000
 0.047,0.250000,0.000000,0.000000
 0.048,0.250000,0.000000,0.000000
 0.049,0.250000,0.000000,0.000000
 0.050,0.250000,0.000000,0.000000
 0.051,0.250000,0.000000,0.000000
 0.052,0.250000,0.000000,0.000000
 0.053,0.250000,0.000000,0.000000
 0.054,0.250000,0.000000,0.000000
 0.055,0.250000,0.000000,0.000000
 0.056,0.250000,0.000000,0.000000
 0.057,0.250000,0.000000,0.000000
 0.058,0.250000,0.000000,0.000000
 0.059,0.250000,0.000000,0.000000
 0.060,0.250000,0.000000,0.000000
 0.061,0.250000,0.000000,0.000000
 0.062,0.250000,0.000000,0.000000
 0.063,0.250000,0.000000,0.000000
 0.064,0.250000,0.000000,0.000000
 0.065,0.250000,0.000000,0.000000
 0.066,0.250000,0.000000,0.000000
 0.067,0.250000,0.000000,0.000000
 0.068,0.250000,0.000000,0.000000
 0.069,0.250000,0.000000,0.000000
 0.070,0.250000,0.000000,0.000000
 0.071,0.250000,0.000000,0.000000
 0.072,0.250000,0.000000,0.000000
 0.073,0.250000,0.000000,0.000000
 0.074,0.250000,0.000000,0.000000
 0.075,0.250000,0.000000,0.000000
 0.076,0.250000,0.000000,0.000000
 0.077,0.250000,0.000000,0.000000
 0.078,0.250000,0.000000,0.000000
 0.079,0.250000,0.000000,0.000000
 0.080,0.250000,0.000000,0.000000
 0.081,0.250000,0.000000,0.000000
 0.082,0.250000,0.000000,0.000000
 0.083,0.250000,0.000000,0.000000
 0.084,0.250000,0.000000,0.000000
 0.085,0.250000,0.000000,0.000000
 0.086,0.250000,0.000000,0.000000
 0.087,0.250000,0.000000,0.000000
 0.088,0.250000,0.000000,0.000000
 0.089,0.250000,0.000000,0.000000
 0.090,0.250000,0.000000,0.000000
 0.091,0.250000,0.000000,0.000000
 0.092,0.250000,0.000000,0.000000
 0.093,0.250000,0.000000,0.000000
